iter	Passed	Remaining
0	1	1399
1	3	1392
2	4	1217
3	5	1070
4	5	976
5	6	904
6	7	853
7	7	820
8	8	796
9	9	774
10	9	756
11	10	747
12	11	740
13	12	743
14	13	752
15	15	813
16	16	823
17	17	815
18	19	833
19	20	828
20	20	814
21	21	802
22	22	791
23	22	780
24	23	772
25	24	764
26	25	760
27	26	777
28	28	796
29	29	798
30	30	796
31	31	806
32	32	800
33	33	793
34	33	787
35	34	780
36	35	773
37	36	767
38	36	761
39	37	757
40	38	767
41	39	766
42	40	766
43	41	765
44	42	759
45	43	753
46	43	749
47	44	744
48	45	740
49	46	739
50	47	735
51	47	732
52	48	728
53	49	727
54	50	731
55	52	743
56	54	752
57	55	752
58	56	748
59	57	748
60	57	745
61	58	742
62	59	738
63	60	735
64	60	732
65	61	728
66	62	726
67	63	727
68	64	732
69	66	743
70	68	748
71	69	747
72	70	750
73	71	748
74	72	743
75	72	740
76	73	736
77	74	733
78	74	729
79	75	727
80	77	731
81	78	734
82	80	737
83	80	732
84	81	731
85	83	735
86	83	732
87	84	729
88	85	726
89	86	725
90	86	721
91	87	718
92	88	716
93	89	719
94	90	720
95	91	719
96	92	718
97	93	715
98	94	712
99	94	709
100	95	706
101	96	704
102	96	701
103	97	698
104	98	696
105	99	694
106	99	691
107	100	689
108	101	688
109	103	692
110	104	695
111	105	694
112	106	693
113	107	690
114	108	688
115	108	686
116	109	683
117	110	681
118	110	679
119	111	678
120	112	676
121	113	674
122	114	673
123	116	681
124	118	685
125	120	689
126	121	691
127	124	700
128	126	705
129	128	711
130	130	716
131	132	717
132	133	719
133	134	717
134	135	715
135	136	713
136	137	711
137	138	710
138	138	708
139	139	706
140	141	710
141	143	715
142	146	720
143	147	719
144	148	721
145	149	720
146	150	718
147	151	716
148	153	717
149	154	719
150	156	720
151	157	720
152	158	718
153	158	716
154	159	714
155	160	711
156	161	709
157	162	707
158	162	705
159	163	703
160	164	701
161	165	700
162	167	703
163	168	704
164	170	704
165	171	703
166	171	701
167	172	699
168	173	696
169	174	694
170	174	692
171	175	690
172	176	689
173	178	691
174	180	693
175	183	699
176	185	702
177	185	699
178	187	698
179	187	697
180	188	695
181	189	693
182	190	691
183	191	690
184	192	691
185	194	693
186	196	693
187	197	692
188	198	690
189	198	688
190	199	686
191	200	684
192	201	682
193	202	681
194	203	682
195	205	683
196	206	682
197	207	681
198	208	680
199	209	678
200	210	676
201	210	674
202	211	672
203	212	670
204	213	668
205	214	667
206	215	666
207	216	665
208	217	666
209	220	670
210	221	669
211	222	667
212	223	665
213	223	663
214	224	661
215	225	659
216	226	657
217	226	655
218	227	653
219	228	651
220	228	649
221	229	647
222	231	647
223	232	646
224	233	646
225	234	644
226	234	642
227	235	640
228	236	638
229	237	637
230	238	635
231	238	633
232	239	632
233	240	630
234	240	628
235	241	626
236	242	626
237	243	624
238	244	623
239	245	622
240	246	620
241	247	618
242	247	617
243	248	615
244	249	613
245	250	611
246	250	610
247	251	608
248	252	607
249	253	606
250	254	604
251	255	603
252	256	603
253	257	602
254	258	601
255	259	599
256	260	598
257	260	596
258	261	594
259	262	593
260	263	592
261	263	590
262	264	589
263	265	588
264	266	586
265	267	586
266	269	585
267	270	585
268	271	584
269	272	583
270	273	582
271	274	581
272	275	579
273	275	577
274	276	576
275	277	574
276	278	573
277	278	571
278	279	569
279	280	569
280	282	569
281	283	568
282	284	567
283	284	565
284	285	564
285	286	562
286	287	561
287	287	559
288	288	558
289	289	556
290	290	555
291	290	554
292	291	552
293	292	551
294	293	550
295	295	550
296	296	550
297	297	549
298	298	548
299	299	547
300	300	545
301	300	544
302	301	542
303	302	540
304	302	539
305	303	537
306	304	536
307	304	534
308	305	533
309	307	532
310	308	531
311	309	531
312	310	530
313	310	528
314	312	528
315	313	527
316	314	525
317	314	524
318	315	523
319	316	522
320	317	520
321	318	519
322	319	518
323	320	518
324	321	518
325	323	517
326	324	516
327	324	515
328	325	513
329	326	512
330	327	511
331	328	510
332	328	508
333	329	507
334	330	506
335	332	506
336	333	505
337	334	504
338	335	503
339	336	502
340	336	500
341	337	499
342	338	498
343	339	496
344	339	495
345	340	494
346	341	493
347	342	491
348	343	490
349	343	489
350	345	488
351	346	487
352	346	486
353	347	485
354	348	483
355	349	482
356	350	481
357	351	480
358	351	479
359	352	477
360	353	476
361	353	475
362	354	474
363	355	472
364	356	471
365	357	470
366	357	469
367	359	468
368	359	467
369	360	466
370	361	464
371	362	463
372	363	463
373	364	462
374	365	460
375	366	459
376	366	458
377	367	456
378	368	455
379	368	454
380	369	452
381	370	451
382	371	451
383	372	450
384	373	449
385	374	447
386	374	446
387	375	445
388	376	443
389	376	442
390	377	441
391	378	439
392	378	438
393	379	437
394	380	436
395	381	435
396	382	434
397	384	435
398	386	434
399	387	434
400	388	433
401	389	431
402	389	430
403	390	429
404	391	428
405	392	427
406	392	425
407	393	424
408	394	423
409	395	422
410	396	421
411	397	420
412	398	419
413	399	418
414	400	417
415	400	416
416	401	415
417	402	414
418	403	413
419	404	411
420	404	410
421	405	409
422	406	408
423	407	407
424	408	406
425	409	405
426	410	404
427	411	403
428	412	402
429	412	401
430	413	400
431	414	399
432	415	398
433	416	396
434	416	395
435	417	394
436	418	393
437	418	392
438	419	391
439	420	390
440	421	389
441	422	388
442	424	387
443	425	386
444	425	385
445	426	384
446	427	383
447	428	382
448	428	381
449	429	379
450	430	378
451	431	377
452	432	376
453	432	375
454	434	375
455	434	373
456	435	372
457	436	371
458	437	370
459	438	369
460	439	368
461	439	367
462	440	366
463	441	365
464	442	364
465	442	363
466	443	361
467	444	360
468	445	359
469	446	358
470	447	357
471	448	356
472	449	356
473	449	354
474	450	353
475	451	352
476	452	351
477	452	350
478	453	349
479	454	348
480	454	347
481	455	345
482	456	344
483	457	343
484	457	342
485	458	341
486	459	340
487	460	339
488	461	338
489	462	337
490	462	336
491	463	335
492	464	334
493	465	333
494	465	332
495	466	331
496	467	329
497	467	328
498	468	327
499	469	326
500	470	325
501	470	324
502	471	323
503	472	322
504	473	321
505	473	320
506	474	319
507	475	318
508	476	317
509	477	316
510	478	315
511	479	314
512	480	313
513	481	312
514	482	311
515	483	310
516	483	309
517	485	309
518	486	308
519	487	307
520	487	306
521	488	305
522	489	304
523	490	303
524	491	302
525	491	301
526	492	299
527	493	298
528	493	297
529	494	296
530	495	295
531	495	294
532	496	293
533	497	292
534	498	291
535	499	291
536	500	290
537	501	289
538	502	288
539	503	287
540	504	286
541	504	285
542	505	283
543	506	282
544	507	281
545	507	280
546	508	279
547	509	278
548	509	277
549	511	276
550	512	276
551	512	275
552	513	274
553	514	273
554	515	271
555	515	270
556	516	269
557	517	268
558	517	267
559	518	266
560	518	265
561	519	264
562	520	263
563	520	262
564	521	261
565	522	260
566	522	259
567	523	258
568	524	257
569	525	256
570	526	255
571	526	254
572	527	253
573	528	252
574	529	251
575	529	250
576	530	249
577	531	248
578	532	247
579	532	246
580	533	245
581	534	244
582	535	243
583	535	242
584	537	241
585	538	240
586	538	239
587	539	238
588	540	237
589	541	236
590	542	235
591	542	234
592	543	233
593	544	232
594	545	231
595	545	230
596	546	229
597	547	228
598	548	227
599	549	226
600	550	226
601	551	225
602	552	224
603	553	223
604	554	222
605	555	221
606	555	220
607	556	219
608	557	218
609	557	217
610	558	216
611	559	215
612	560	214
613	560	213
614	561	212
615	562	211
616	563	211
617	564	210
618	565	209
619	566	208
620	566	207
621	567	206
622	568	205
623	569	204
624	569	203
625	570	202
626	571	201
627	572	200
628	572	199
629	574	198
630	575	197
631	576	197
632	577	196
633	578	195
634	579	194
635	580	193
636	581	192
637	581	191
638	582	190
639	583	189
640	584	188
641	584	187
642	585	186
643	586	185
644	586	184
645	588	184
646	590	183
647	591	182
648	591	181
649	592	180
650	593	179
651	593	178
652	594	177
653	595	176
654	596	175
655	596	174
656	597	173
657	598	172
658	600	172
659	602	171
660	603	170
661	604	169
662	604	168
663	605	167
664	606	166
665	606	165
666	607	164
667	607	163
668	608	162
669	609	161
670	609	160
671	610	159
672	611	158
673	611	157
674	612	157
675	613	156
676	614	155
677	615	154
678	616	153
679	616	152
680	617	151
681	618	150
682	618	149
683	619	148
684	620	147
685	620	146
686	621	145
687	622	144
688	623	143
689	624	142
690	624	141
691	625	141
692	626	140
693	627	139
694	628	138
695	628	137
696	629	136
697	630	135
698	631	134
699	631	133
700	632	132
701	633	131
702	634	130
703	634	129
704	636	129
705	636	128
706	637	127
707	638	126
708	639	125
709	639	124
710	640	123
711	641	122
712	642	121
713	642	120
714	643	119
715	644	118
716	645	117
717	645	116
718	646	116
719	647	115
720	648	114
721	649	113
722	649	112
723	650	111
724	651	110
725	652	109
726	653	108
727	654	107
728	655	107
729	656	106
730	657	105
731	657	104
732	658	103
733	659	102
734	660	101
735	660	100
736	661	99
737	662	98
738	663	97
739	665	97
740	666	96
741	668	95
742	668	94
743	669	93
744	670	92
745	671	91
746	671	90
747	672	89
748	673	88
749	673	88
750	674	87
751	675	86
752	676	85
753	677	84
754	678	83
755	679	82
756	680	81
757	681	80
758	681	79
759	682	79
760	683	78
761	683	77
762	684	76
763	685	75
764	686	74
765	686	73
766	687	72
767	688	71
768	689	70
769	690	69
770	691	69
771	692	68
772	692	67
773	693	66
774	694	65
775	694	64
776	695	63
777	696	62
778	696	61
779	697	60
780	698	59
781	699	59
782	700	58
783	701	57
784	701	56
785	703	55
786	704	54
787	705	53
788	705	52
789	706	51
790	707	50
791	707	50
792	708	49
793	709	48
794	710	47
795	710	46
796	711	45
797	712	44
798	713	43
799	713	42
800	714	41
801	715	41
802	716	40
803	717	39
804	717	38
805	718	37
806	719	36
807	720	35
808	720	34
809	721	33
810	722	32
811	722	32
812	723	31
813	724	30
814	725	29
815	725	28
816	726	27
817	727	26
818	728	25
819	729	24
820	730	24
821	730	23
822	731	22
823	732	21
824	732	20
825	733	19
826	734	18
827	734	17
828	735	16
829	736	15
830	737	15
831	737	14
832	738	13
833	739	12
834	739	11
835	740	10
836	741	9
837	742	8
838	743	7
839	743	7
840	744	6
841	745	5
842	746	4
843	746	3
844	747	2
845	748	1
846	749	0
847	749	0
