Step,Training Loss
5,0.267100
10,0.064200
15,0.034400
20,0.010800
25,0.003700
30,0.001500
35,0.003200
40,0.001200
45,0.001200
50,0.000500
55,0.002400
60,0.002000
65,0.000800
70,0.000300
75,0.000700
80,0.002500
85,0.001700
90,0.000600
95,0.001400
100,0.000800
105,0.001800
110,0.001800
115,0.001600
120,0.000800
125,0.001500
130,0.000700
135,0.000600
140,0.001000
145,0.000700
150,0.000400
155,0.000300
160,0.000800
165,0.000900
170,0.001400
175,0.001000
180,0.001500
185,0.000600
190,0.000600
195,0.001600
200,0.000800
205,0.000400
210,0.002600
215,0.001500
220,0.001400
225,0.000900
230,0.000300
235,0.002300
240,0.001000
245,0.001800
250,0.000800
255,0.001500
260,0.002200
265,0.000400
270,0.001800
275,0.000400
280,0.000800
285,0.000600
290,0.001300
295,0.000600
300,0.000700
305,0.001100
310,0.001200
315,0.000800
320,0.001200
325,0.001500
330,0.000900
335,0.000900
340,0.000700
345,0.001300
350,0.000400
355,0.000900
360,0.000700
365,0.001200
370,0.000600
375,0.000600
380,0.002300
385,0.000600
390,0.000800
395,0.000900
400,0.001700
405,0.003900
410,0.001400
415,0.001900
420,0.000700
425,0.001200
430,0.001700
435,0.001700
440,0.000300
445,0.000500
450,0.000900
455,0.000400
460,0.000600
465,0.000900
470,0.001600
475,0.002200
480,0.001000
485,0.000600
490,0.003200
495,0.000500
500,0.001000
505,0.000700
510,0.001200
515,0.000500
520,0.000400
525,0.001600
530,0.001300
535,0.001200
540,0.000600
545,0.000300
550,0.000500
555,0.001700
560,0.000200
565,0.002100
570,0.000800
575,0.000500
580,0.000600
585,0.001700
590,0.001000
595,0.000600
600,0.000600
605,0.001000
610,0.001000
615,0.000400
620,0.000500
625,0.004200
630,0.001100
635,0.000400
640,0.000500
645,0.000700
650,0.000800
655,0.000500
660,0.000400
665,0.000800
670,0.000200
675,0.000900
680,0.000800
685,0.000400
690,0.001400
695,0.000700
700,0.000400
705,0.000500
710,0.001100
715,0.000700
720,0.001600
725,0.000900
730,0.001200
735,0.000900
740,0.001300
745,0.000300
750,0.000600
755,0.000700
760,0.000800
765,0.001500
770,0.001900
775,0.000400
780,0.000300
785,0.001000
790,0.003000
795,0.000800
800,0.002600
805,0.001800
810,0.000800
815,0.000900
820,0.000600
825,0.001000
830,0.000300
835,0.001000
840,0.000200
845,0.002200
850,0.001500
855,0.002200
860,0.001900
865,0.000600
870,0.000500
875,0.000700
880,0.000700
885,0.000600
890,0.000600
895,0.000700
900,0.000700
905,0.001800
910,0.000400
915,0.000500
920,0.000800
925,0.001000
930,0.001200
935,0.000500
940,0.000700
945,0.000600
950,0.001800
955,0.000600
960,0.001800
965,0.000700
970,0.000600
975,0.000300
980,0.001300
985,0.000200
990,0.001100
995,0.001800
1000,0.000900
1005,0.001800
1010,0.001300
1015,0.001400
1020,0.001300
1025,0.000600
1030,0.001900
1035,0.001300
1040,0.000100
1045,0.000900
1050,0.004100
1055,0.000600
1060,0.000800
1065,0.001300
1070,0.001100
1075,0.000800
1080,0.001100
1085,0.000600
1090,0.000600
1095,0.003300
1100,0.000400
1105,0.000600
1110,0.002800
1115,0.002000
1120,0.000500
1125,0.001400
1130,0.001800
1135,0.000600
1140,0.001900
1145,0.000600
1150,0.001400
1155,0.000200
1160,0.001300
1165,0.001000
1170,0.001100
1175,0.000600
1180,0.001200
1185,0.000600
1190,0.000400
1195,0.000900
1200,0.001000
1205,0.001000
1210,0.000200
1215,0.000300
1220,0.001300
1225,0.000600
1230,0.001000
1235,0.000600
1240,0.000500
1245,0.002300
1250,0.000700
1255,0.000100
1260,0.000600
1265,0.002600
1270,0.000500
1275,0.001000
1280,0.000200
1285,0.000900
1290,0.000400
1295,0.002800
1300,0.000600
1305,0.000900
1310,0.000900
1315,0.000700
1320,0.000900
1325,0.002300
1330,0.000500
1335,0.001300
1340,0.000200
1345,0.001000
1350,0.000800
1355,0.001400
1360,0.000500
1365,0.000500
1370,0.000600
1375,0.000300
1380,0.002300
1385,0.000800
1390,0.000700
1395,0.001200
1400,0.000400
1405,0.002000
1410,0.001300
1415,0.002000
1420,0.001100
1425,0.001400
1430,0.000900
1435,0.000400
1440,0.001400
1445,0.001100
1450,0.000500
1455,0.001300
1460,0.001600
1465,0.001900
1470,0.000300
1475,0.000500
1480,0.001800
1485,0.001300
1490,0.001400
1495,0.001200
1500,0.001900
1505,0.001700
1510,0.001800
1515,0.001200
1520,0.000100
1525,0.000300
1530,0.001200
1535,0.001700
1540,0.000800
1545,0.001300
1550,0.000700
1555,0.000600
1560,0.000900
1565,0.001600
1570,0.000400
1575,0.001900
1580,0.000500
1585,0.001200
1590,0.001300
1595,0.001000
1600,0.000800
1605,0.001200
1610,0.000700
1615,0.000600
