video_id,view_count,like_count,comment_count,has_comments,timestamp
K26_sDKnvMU,119932,155,0,False,2025-02-10T20:37:22.147305
3LPANjHlPxo,201106,288,0,False,2025-02-10T20:37:22.399399
rEnOoWs3FuA,229296,220,13,True,2025-02-10T20:37:22.714761
j9xml1CxgXI,443218,0,0,False,2025-02-10T20:37:22.970014
2GfZl4kuVNI,1536280,8443,681,True,2025-02-10T20:37:23.496704
twTksx_lWB4,1627209,0,0,False,2025-02-10T20:37:23.727229
-C-xXZyX2zU,223492,352,0,False,2025-02-10T20:37:23.961065
lcOqUE0u1LM,493712,2859,259,True,2025-02-10T20:37:24.517416
UrC75wUKoFM,20475,29,3,True,2025-02-10T20:37:24.878889
tVdn8JH91Dg,151595,0,10,True,2025-02-10T20:37:25.218430
dO2LWKpeyI8,304017,983,242,True,2025-02-10T20:37:25.947904
EJXDMwGWhoA,2556231,10580,801,True,2025-02-10T20:37:26.505279
DfqPjRMsRP0,102480,261,14,True,2025-02-10T20:37:27.118004
yNLaTtpovys,361444,1036,81,True,2025-02-10T20:37:27.653058
lsmXhM4yfU0,351879,406,115,True,2025-02-10T20:37:28.044423
OOTTvrb4JZI,187495,311,40,True,2025-02-10T20:37:28.345994
gHl-UHu2-lM,148447,442,61,True,2025-02-10T20:37:28.706007
UMlYWZgCIgo,749973,860,200,True,2025-02-10T20:37:29.194642
RQLVzTtt2Ws,1035760,8256,561,True,2025-02-10T20:37:29.942200
lYSHAyODiGs,238657,492,61,True,2025-02-10T20:37:30.268624
toH1vzAmDBI,89571,113,14,True,2025-02-10T20:37:30.544673
mQf3Ngg2cks,47099,177,11,True,2025-02-10T20:37:30.805712
gA-5nLQCmW8,1258949,4964,443,True,2025-02-10T20:37:31.301364
15s4Y9ffW_o,3330309,11654,1222,True,2025-02-10T20:37:31.891056
3_wez2B83ic,3822,5,0,False,2025-02-10T20:37:32.128275
tVxeoUtVF0o,151429,120,7,True,2025-02-10T20:37:32.391180
ccq3f9-lQyM,34270,104,13,True,2025-02-10T20:37:32.641216
qpQ-CnutDy0,19686,105,26,True,2025-02-10T20:37:33.103409
6PKq7YSpO6c,583199,1734,0,False,2025-02-10T20:37:33.336244
XuHEa7pWAQY,12841,104,11,True,2025-02-10T20:37:33.597227
OXc0-EME0C8,386623,1497,193,True,2025-02-10T20:37:34.140346
CvsAuHYBgEQ,188129,1217,87,True,2025-02-10T20:37:34.643050
JHIfHL5UgFs,3602664,18876,2236,True,2025-02-10T20:37:35.365512
Y1uPXA1ceNo,361893,231,38,True,2025-02-10T20:37:35.664690
K5_2VgJUSBA,247468,1072,64,True,2025-02-10T20:37:35.971189
DSf_pVG8QZM,279756,424,0,False,2025-02-10T20:37:36.379953
J5mszOh_Qis,2512163,2802,74,True,2025-02-10T20:37:36.693554
oiXdPolca5w,4178845,13551,689,True,2025-02-10T20:37:37.206292
2BBKx2Hji_0,15926,66,4,True,2025-02-10T20:37:37.533248
3Fd6ZlgOFqs,7178,10,2,True,2025-02-10T20:37:38.013199
K4MltltKq4k,45744,48,0,False,2025-02-10T20:37:38.250170
jG9pUsmjAO8,17748,0,0,False,2025-02-10T20:37:38.496103
ThH8WocPRM0,57369,116,5,True,2025-02-10T20:37:39.151979
0or7hSz-7gc,61453,154,6,True,2025-02-10T20:37:39.451191
yoIBXVm_B9Y,672090,2497,0,False,2025-02-10T20:37:39.855141
jY56N6irNCk,257179,249,106,True,2025-02-10T20:37:40.223003
JYoWGIrXiz0,18443,32,1,True,2025-02-10T20:37:40.475627
JAAhQwcJ20U,979322,5274,163,True,2025-02-10T20:37:40.849789
Psql1jhaIiA,3778,0,0,False,2025-02-10T20:37:41.101465
MubmJ2jwvOM,62913,356,113,True,2025-02-10T20:37:41.812011
z7oSfRVevzU,28750,0,0,False,2025-02-10T20:37:42.027488
9gQuxMD5jzU,98617,0,0,False,2025-02-10T20:37:42.573107
YC3npzqwXcs,309286,807,97,True,2025-02-10T20:37:43.142574
hck5I4F1OgU,14900,70,6,True,2025-02-10T20:37:43.649345
GJ6-ymSjShg,516440,1628,228,True,2025-02-10T20:37:43.965683
rZU6xGcShw8,10482,0,4,True,2025-02-10T20:37:44.474774
1AeAvE3FxQ8,16344,35,2,True,2025-02-10T20:37:44.723139
xjPZbigB4NA,11061,236,95,True,2025-02-10T20:37:45.288490
kDdwRURSEzI,51401,280,23,True,2025-02-10T20:37:45.562301
Awng-jZnkoY,329241,611,89,True,2025-02-10T20:37:46.008741
jL4l_tyPC0Y,72185,345,0,False,2025-02-10T20:37:46.210337
i1o_PO3ridY,162407,197,34,True,2025-02-10T20:37:46.545333
qiAyu1qKkfE,18510,29,0,False,2025-02-10T20:37:46.774823
UwkAOHd8WRU,17953,132,13,True,2025-02-10T20:37:47.130938
FmYKCjilWAs,18993,61,6,True,2025-02-10T20:37:47.407929
bdqnz-FtIog,79248,155,11,True,2025-02-10T20:37:47.745263
FjPueQfeQLs,169748,441,39,True,2025-02-10T20:37:48.257521
BRgCb1QjOv4,104631,148,24,True,2025-02-10T20:37:48.534401
o6trRzB8fiA,175587,0,0,False,2025-02-10T20:37:48.770084
PQJW7o37XJo,69180,0,0,False,2025-02-10T20:37:48.979202
qgHHBYzgL-s,50809,152,17,True,2025-02-10T20:37:49.298148
0AvkCamSj5o,217549,0,0,False,2025-02-10T20:37:49.700555
vBS92ui_h74,15713,0,0,False,2025-02-10T20:37:50.055364
M2Wl4li8TFo,223684,3994,142,True,2025-02-10T20:37:50.618521
cR1Zvw5MmLs,30412,88,17,True,2025-02-10T20:37:50.894783
